Pid,Pair,Sem_Sim,Aud_Sim
0,"angry bark,angry creature",2.07,2.13
1,"angry bark,angry crowd",1.60,1.67
2,"angry bark,angry girl",1.40,1.33
3,"angry bark,angry growl",3.80,3.67
4,"angry bark,angry male",1.60,1.67
5,"angry bark,angry monster",1.87,2.07
6,"angry bark,angry roar",3.53,3.27
7,"angry bark,angry talk",2.73,2.33
8,"angry bark,angry vocal",3.27,3.20
9,"angry bark,angry voice",2.73,2.67
10,"angry bark,angry woman",1.67,1.40
11,"angry beast,angry bark",2.20,2.67
12,"angry beast,angry creature",4.33,4.73
13,"angry beast,angry crowd",1.73,1.73
14,"angry beast,angry girl",2.20,1.80
15,"angry beast,angry growl",2.60,3.33
16,"angry beast,angry male",2.27,2.53
17,"angry beast,angry monster",3.73,4.80
18,"angry beast,angry roar",2.60,3.40
19,"angry beast,angry talk",1.73,1.80
20,"angry beast,angry vocal",1.93,2.13
21,"angry beast,angry voice",1.67,1.87
22,"angry beast,angry woman",2.40,1.80
23,"angry cat,angry bark",1.60,1.57
24,"angry cat,angry beast",3.20,2.93
25,"angry cat,angry cat",5.00,5.00
26,"angry cat,angry creature",3.60,3.50
27,"angry cat,angry crowd",1.40,1.36
28,"angry cat,angry dog",3.33,2.79
29,"angry cat,angry girl",1.67,1.64
30,"angry cat,angry growl",2.33,2.43
31,"angry cat,angry male",2.07,1.79
32,"angry cat,angry monster",2.40,2.21
33,"angry cat,angry roar",1.73,2.36
34,"angry cat,angry talk",1.27,1.29
35,"angry cat,angry vocal",2.00,1.57
36,"angry cat,angry voice",1.33,1.71
37,"angry cat,angry woman",1.67,1.64
38,"angry cat,angry yell",1.60,1.57
39,"angry creature,angry girl",2.33,2.21
40,"angry creature,angry talk",1.60,1.86
41,"angry creature,angry voice",2.00,2.07
42,"angry creature,angry woman",2.53,2.21
43,"angry crowd,angry creature",1.67,1.47
44,"angry crowd,angry girl",2.00,1.60
45,"angry crowd,angry growl",1.80,1.87
46,"angry crowd,angry male",2.00,2.33
47,"angry crowd,angry monster",1.80,1.53
48,"angry crowd,angry roar",2.40,2.60
49,"angry crowd,angry talk",2.33,2.07
50,"angry crowd,angry vocal",2.00,2.47
51,"angry crowd,angry voice",2.33,2.20
52,"angry crowd,angry woman",2.40,1.93
53,"angry dog,angry bark",3.33,3.86
54,"angry dog,angry beast",3.13,3.29
55,"angry dog,angry creature",3.13,3.43
56,"angry dog,angry crowd",1.33,1.29
57,"angry dog,angry dog",5.00,5.00
58,"angry dog,angry girl",1.60,1.64
59,"angry dog,angry growl",3.20,3.93
60,"angry dog,angry male",1.73,1.71
61,"angry dog,angry monster",2.40,2.43
62,"angry dog,angry roar",2.07,2.57
63,"angry dog,angry talk",1.27,1.29
64,"angry dog,angry vocal",1.80,1.79
65,"angry dog,angry voice",1.47,1.50
66,"angry dog,angry woman",1.53,1.64
67,"angry dog,angry yell",1.47,1.50
68,"angry girl,angry talk",2.33,3.00
69,"angry girl,angry voice",2.27,3.00
70,"angry girl,angry woman",4.67,4.43
